epoch,train_loss,train_acc,val_loss,val_acc,test_acc
89,0.40235142989291084,0.7877777777777778,0.28723158687353134,0.944,0.736
90,0.39935457540882957,0.7888888888888889,0.2725343890488148,0.95,0.728
91,0.4116362693409125,0.7877777777777778,0.2742311581969261,0.958,0.74
92,0.41091373314460117,0.7853333333333333,0.2741401866078377,0.956,0.726
93,0.4131964279545678,0.7804444444444445,0.2806830331683159,0.954,0.704
94,0.39668380551868015,0.7882222222222223,0.26292450726032257,0.958,0.726
95,0.40203509893682265,0.788,0.27063122391700745,0.96,0.738
96,0.38944338924354976,0.7884444444444444,0.26255546510219574,0.962,0.728
97,0.40743598838647205,0.7902222222222223,0.2795165739953518,0.948,0.728
98,0.3927113074395392,0.7893333333333333,0.272228367626667,0.956,0.736
99,0.38848738372325897,0.7891111111111111,0.25926508754491806,0.958,0.728
100,0.3882726604739825,0.7924444444444444,0.27453596517443657,0.946,0.704
101,0.38423366182380253,0.7893333333333333,0.2641206532716751,0.954,0.72
102,0.3865902390744951,0.7911111111111111,0.26360246539115906,0.946,0.714
103,0.3832113097111384,0.7915555555555556,0.26368963718414307,0.954,0.722
104,0.3781427289876673,0.7875555555555556,0.2605406269431114,0.946,0.74
105,0.3897354031602542,0.7871111111111111,0.2793812155723572,0.954,0.696
106,0.386067991455396,0.7888888888888889,0.2640553489327431,0.954,0.732
107,0.38085729214880204,0.7928888888888889,0.25908946618437767,0.96,0.724
108,0.3832769725057814,0.7915555555555556,0.26201168075203896,0.954,0.762
109,0.38057982300718624,0.7946666666666666,0.2818167135119438,0.942,0.718
110,0.37958793838818866,0.7924444444444444,0.2673380449414253,0.954,0.744
111,0.3677428588271141,0.7931111111111111,0.2595849186182022,0.952,0.728
112,0.36803774328695404,0.7955555555555556,0.2746586464345455,0.95,0.748
113,0.37385714509420925,0.7926666666666666,0.2634587995707989,0.952,0.732
114,0.37334417965677047,0.7922222222222223,0.2678169310092926,0.95,0.714
115,0.37203968688845634,0.7906666666666666,0.2655879631638527,0.944,0.728
116,0.37476790448029834,0.7937777777777778,0.25804972648620605,0.942,0.724
117,0.36727509937352604,0.7926666666666666,0.26156696677207947,0.946,0.718
118,0.3699674192402098,0.7975555555555556,0.2630544751882553,0.956,0.716
119,0.3633294908536805,0.7937777777777778,0.2558641657233238,0.948,0.732
120,0.3639993708994653,0.796,0.2607143819332123,0.956,0.726
121,0.37084424164560104,0.7966666666666666,0.2579810284078121,0.946,0.728
122,0.3593543428513739,0.7951111111111111,0.26531898602843285,0.94,0.694
123,0.3565269431306256,0.7962222222222223,0.26405908912420273,0.936,0.746
124,0.35365114029910827,0.7993333333333333,0.2643131762742996,0.952,0.702
125,0.35528218208087814,0.7973333333333333,0.24855583533644676,0.958,0.726
126,0.35212161019444466,0.7971111111111111,0.2569500133395195,0.95,0.722
127,0.3523412524825997,0.7975555555555556,0.2600027844309807,0.946,0.722
128,0.3508242021004359,0.7988888888888889,0.2566941976547241,0.95,0.724
129,0.34536858399709064,0.7986666666666666,0.2592635378241539,0.95,0.736
130,0.3558562041984664,0.7975555555555556,0.26006368547677994,0.944,0.722
131,0.35723722436361843,0.7988888888888889,0.2592802047729492,0.948,0.73
132,0.346163390411271,0.7995555555555556,0.25540877506136894,0.952,0.728
133,0.337525920321544,0.7988888888888889,0.25636468827724457,0.95,0.734
134,0.3438759533067544,0.7984444444444444,0.25595274940133095,0.948,0.734
135,0.3424040294355816,0.7988888888888889,0.2594481259584427,0.952,0.728
136,0.3445865110390716,0.8,0.24912017211318016,0.952,0.714
137,0.3409457529584567,0.8008888888888889,0.25283996760845184,0.944,0.736
138,0.3548274197512203,0.7951111111111111,0.24571285024285316,0.944,0.722
139,0.33228179895215565,0.8006666666666666,0.2532460689544678,0.944,0.722
140,0.3356499949263202,0.8017777777777778,0.2570551075041294,0.942,0.724
141,0.33315078127715325,0.8013333333333333,0.2596309445798397,0.944,0.722
142,0.326069841782252,0.8022222222222222,0.24836134165525436,0.948,0.722
143,0.34012077210677993,0.8017777777777778,0.251218780875206,0.954,0.718
144,0.3270188727312618,0.8017777777777778,0.2491425760090351,0.946,0.718
145,0.3328757517867618,0.8006666666666666,0.2509664036333561,0.942,0.708
146,0.3318689602116744,0.8006666666666666,0.2510641776025295,0.948,0.71
147,0.34382641977734035,0.8022222222222222,0.25224731862545013,0.948,0.706
148,0.33067358781894046,0.8011111111111111,0.25452616810798645,0.946,0.722
149,0.3250351395044062,0.802,0.2614412344992161,0.94,0.724
150,0.3139987890091207,0.8035555555555556,0.24050971120595932,0.954,0.716
151,0.31919343603981865,0.8028888888888889,0.25425931066274643,0.942,0.708
